time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1774430695.9113,27,4238.974,4352.308,4484.615,4114.872,4177.436,0.0
1774430695.919,28,4233.333,4338.974,4472.821,4118.974,4176.923,0.0
1774430695.9267,29,4249.744,4361.026,4458.974,4123.077,4189.744,0.0
1774430695.9345,30,4244.615,4381.026,4457.949,4114.359,4190.769,0.0
1774430695.9424,31,4222.564,4383.59,4467.692,4109.231,4170.256,0.0
1774430695.9501,32,4238.462,4359.487,4458.462,4109.231,4150.769,0.0
1774430695.9578,33,4280.0,4342.051,4435.385,4125.128,4173.846,0.0
1774430695.9656,34,4281.538,4366.667,4427.179,4148.718,4217.436,0.0
1774430695.9733,35,4251.795,4384.103,4443.077,4149.231,4226.667,0.0
1774430695.981,36,4250.769,4360.0,4461.026,4129.231,4203.077,0.0
1774430695.9888,37,4266.154,4330.769,4458.974,4122.564,4182.564,0.0
1774430695.9967,38,4266.154,4329.231,4444.615,4135.897,4182.051,0.0
1774430696.0044,39,4251.282,4349.231,4417.949,4130.256,4188.718,0.0
1774430696.0122,40,4246.154,4362.564,4414.872,4116.923,4197.949,0.0
1774430696.0199,41,4261.026,4329.231,4452.821,4134.872,4192.308,0.0
1774430696.0277,42,4264.103,4289.744,4460.0,4146.667,4176.41,0.0
1774430696.0354,43,4244.103,4316.41,4425.128,4137.949,4189.744,0.0
