time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state
1774524996.0177,55,4236.41,4273.333,4162.051,4155.385,4244.615,0.0,0,1,rest
1774524996.0254,56,4223.59,4265.641,4174.359,4166.154,4239.487,0.0,0,1,rest
1774524996.0332,57,4219.487,4282.564,4180.513,4180.0,4248.205,0.0,0,1,rest
1774524996.0409,58,4220.0,4272.308,4179.487,4170.256,4246.667,0.0,0,1,rest
1774524996.0487,59,4213.846,4253.846,4175.897,4160.513,4248.205,0.0,0,1,rest
1774524996.0564,60,4212.308,4271.795,4172.308,4163.59,4244.615,0.0,0,1,rest
1774524996.0641,61,4222.564,4291.282,4170.769,4168.718,4231.795,0.0,0,1,rest
1774524996.072,62,4231.282,4288.205,4172.308,4169.744,4234.359,0.0,0,1,rest
1774524996.0797,63,4218.974,4267.179,4169.231,4160.0,4238.974,0.0,0,1,rest
1774524996.0875,64,4198.462,4260.0,4159.487,4153.333,4233.333,450.0,0,1,rest
1774524996.0952,65,4188.205,4276.41,4156.923,4157.436,4218.974,450.0,0,1,rest
1774524996.103,66,4183.59,4271.282,4162.564,4154.872,4204.103,16213.0,0,1,rest
1774524996.1107,67,4187.692,4245.128,4161.026,4149.744,4202.564,450.0,0,1,rest
1774524996.1184,68,4201.026,4253.846,4158.974,4161.538,4204.615,16242.0,0,1,rest
1774524996.1263,69,4203.59,4284.103,4165.128,4177.949,4202.051,450.0,0,1,rest
1774524996.1341,70,4204.615,4274.359,4171.282,4177.949,4220.513,16208.0,0,1,rest
1774524996.1418,71,4217.436,4260.0,4173.846,4178.462,4256.41,450.0,0,1,rest
1774524996.1495,72,4218.974,4276.923,4167.179,4184.103,4262.564,450.0,0,1,rest
1774524996.1572,73,4211.795,4275.897,4161.026,4181.538,4252.308,16180.0,0,1,rest
1774524996.165,74,4215.897,4260.513,4164.103,4178.462,4244.615,450.0,0,1,rest
1774524996.1728,75,4211.795,4258.974,4164.103,4177.436,4229.231,16212.0,0,1,rest
1774524996.1806,76,4192.821,4269.744,4158.974,4163.59,4234.872,450.0,0,1,rest
1774524996.1884,77,4187.179,4276.41,4161.026,4149.231,4259.487,450.0,0,1,rest
1774524996.1961,78,4190.769,4280.513,4172.821,4156.41,4262.564,450.0,0,1,rest
1774524996.2038,79,4191.795,4284.615,4180.513,4174.872,4261.026,16212.0,0,1,rest
1774524996.2116,80,4203.077,4283.077,4184.103,4180.0,4256.923,450.0,0,1,rest
1774524996.2193,81,4213.846,4286.154,4183.59,4171.795,4229.231,450.0,0,1,rest
1774524996.2272,82,4211.282,4278.462,4171.795,4180.513,4232.821,450.0,0,1,rest
1774524996.2349,83,4208.718,4263.077,4164.615,4192.821,4265.128,16212.0,0,1,rest
1774524996.2427,84,4206.154,4267.692,4171.795,4173.846,4247.692,450.0,0,1,rest
1774524996.2505,85,4191.282,4281.026,4176.923,4154.872,4219.487,450.0,0,1,rest
1774524996.2582,86,4188.205,4268.205,4183.59,4172.821,4237.949,450.0,0,1,rest
1774524996.2659,87,4206.154,4250.256,4196.923,4189.231,4249.231,16212.0,0,1,rest
1774524996.2737,88,4209.231,4273.333,4196.923,4177.949,4233.333,450.0,0,1,rest
1774524996.2815,89,4194.359,4298.462,4183.077,4174.359,4233.846,450.0,0,1,rest
1774524996.2893,90,4191.795,4276.41,4181.026,4179.487,4252.308,450.0,0,1,rest
1774524996.297,91,4203.077,4252.821,4180.513,4169.231,4264.615,16212.0,0,1,rest
1774524996.3048,92,4209.744,4273.333,4170.769,4162.564,4250.256,450.0,0,1,rest
1774524996.3125,93,4212.821,4298.974,4168.205,4169.231,4227.692,450.0,0,1,rest
1774524996.3203,94,4206.154,4275.385,4165.128,4166.154,4224.103,450.0,0,1,rest
1774524996.328,95,4191.282,4236.41,4156.41,4160.0,4229.231,16212.0,0,1,rest
