time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1772893792.4025,72,4216.923,4403.077,4155.897,4157.436,4192.821,450.0
1772893792.4103,73,4222.564,4378.974,4156.923,4150.256,4183.59,16191.0
1772893792.4181,74,4229.231,4405.128,4165.641,4136.923,4177.436,450.0
1772893792.4259,75,4242.564,4425.128,4140.513,4144.615,4200.0,16218.0
1772893792.4336,76,4251.282,4389.744,4133.333,4158.974,4216.41,450.0
1772893792.4414,77,4246.154,4371.795,4151.795,4165.641,4219.487,450.0
1772893792.4491,78,4249.231,4412.308,4138.974,4166.154,4224.103,450.0
1772893792.4569,79,4255.897,4437.436,4140.513,4156.923,4216.923,16218.0
1772893792.4646,80,4262.564,4420.513,4148.205,4157.436,4221.026,450.0
1772893792.4724,81,4261.538,4414.872,4143.077,4165.641,4233.333,450.0
1772893792.4802,82,4256.41,4423.59,4145.641,4166.154,4221.538,450.0
1772893792.4879,83,4261.538,4404.103,4146.667,4169.744,4212.821,16218.0
1772893792.4957,84,4271.795,4397.436,4147.692,4178.462,4234.872,450.0
1772893792.5035,85,4275.385,4410.769,4134.872,4178.462,4251.795,450.0
1772893792.5112,86,4270.256,4411.795,4128.205,4171.795,4242.564,450.0
1772893792.519,87,4260.0,4426.667,4138.462,4173.846,4239.487,16218.0
1772893792.5268,88,4244.103,4442.564,4139.487,4177.949,4238.462,450.0
1772893792.5345,89,4248.718,4427.692,4138.974,4174.872,4229.744,450.0
1772893792.5423,90,4268.718,4418.462,4136.923,4170.769,4229.744,450.0
1772893792.55,91,4266.667,4425.128,4136.923,4160.513,4224.615,16218.0
1772893792.5577,92,4257.949,4398.974,4140.513,4149.744,4222.564,450.0
1772893792.5655,93,4260.513,4372.821,4125.128,4153.333,4239.487,450.0
1772893792.5732,94,4257.436,4398.974,4122.564,4158.462,4243.077,450.0
1772893792.5811,95,4256.923,4435.385,4135.385,4163.59,4231.795,16218.0
1772893792.5888,96,4269.231,4434.872,4133.333,4173.333,4233.846,450.0
1772893792.5967,97,4269.744,4420.513,4130.769,4173.846,4237.949,450.0
1772893792.6045,98,4261.026,4431.795,4127.179,4168.718,4236.41,450.0
1772893792.6123,99,4250.256,4422.564,4128.718,4168.718,4236.41,16218.0
1772893792.62,100,4242.051,4378.974,4130.769,4166.667,4224.615,450.0
1772893792.6278,101,4241.538,4389.231,4121.026,4159.487,4204.103,450.0
